<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.04.11	03:00:00	1244.72	1246.32	1244.05	1245.51	6842	0	0
2016.04.11	04:00:00	1245.54	1251.04	1244.37	1249.93	5357	0	0
2016.04.11	05:00:00	1250.03	1252.11	1249.83	1250.86	3050	0	0
2016.04.11	06:00:00	1250.82	1251.18	1249.39	1250.05	4158	0	0
2016.04.11	07:00:00	1250.09	1252.57	1249.08	1251.19	5751	0	0
2016.04.11	08:00:00	1251.19	1251.98	1248.14	1249.21	6099	0	0
2016.04.11	09:00:00	1249.20	1250.23	1247.79	1249.83	7601	0	0
2016.04.11	10:00:00	1249.80	1254.31	1248.62	1249.42	15143	0	0
2016.04.11	11:00:00	1249.37	1251.27	1246.27	1247.58	12593	0	0
2016.04.11	12:00:00	1247.59	1249.29	1246.72	1248.80	9554	0	0
2016.04.11	13:00:00	1248.77	1250.39	1248.20	1249.81	9051	0	0
2016.04.11	14:00:00	1249.83	1251.13	1246.37	1247.21	10316	0	0
2016.04.11	15:00:00	1247.36	1253.12	1247.33	1251.13	12791	0	0
2016.04.11	16:00:00	1251.21	1255.94	1249.21	1255.30	15035	0	0
2016.04.11	17:00:00	1255.29	1258.31	1253.97	1257.91	13053	0	0
2016.04.11	18:00:00	1257.92	1258.76	1256.37	1257.04	11021	0	0
2016.04.11	19:00:00	1257.04	1258.38	1256.65	1257.85	7883	0	0
2016.04.11	20:00:00	1257.85	1258.40	1255.50	1255.65	8527	0	0
2016.04.11	21:00:00	1255.68	1256.95	1255.22	1256.72	4764	0	0
2016.04.11	22:00:00	1256.70	1257.35	1254.10	1256.04	4811	0	0
2016.04.11	23:00:00	1256.03	1257.87	1255.91	1257.32	1361	0	0
2016.04.12	01:00:00	1258.07	1259.34	1256.18	1258.31	1517	0	0
2016.04.12	02:00:00	1258.27	1260.02	1257.20	1257.27	1779	0	0
2016.04.12	03:00:00	1257.26	1258.11	1254.81	1255.96	2404	0	0
2016.04.12	04:00:00	1255.96	1256.66	1253.26	1254.26	2841	0	0
2016.04.12	05:00:00	1254.20	1255.49	1253.69	1254.42	3089	0	0
2016.04.12	06:00:00	1254.43	1255.20	1253.39	1254.59	4920	0	0
2016.04.12	07:00:00	1254.58	1254.89	1253.54	1253.78	3620	0	0
2016.04.12	08:00:00	1253.79	1254.65	1253.12	1254.12	4956	0	0
2016.04.12	09:00:00	1254.12	1257.60	1254.01	1257.24	7572	0	0
2016.04.12	10:00:00	1257.24	1259.42	1256.40	1258.49	10951	0	0
2016.04.12	11:00:00	1258.54	1262.72	1258.42	1260.66	12631	0	0
2016.04.12	12:00:00	1260.75	1261.09	1258.09	1258.19	10207	0	0
2016.04.12	13:00:00	1258.48	1258.98	1255.88	1256.48	8873	0	0
2016.04.12	14:00:00	1256.48	1261.46	1256.08	1261.05	7576	0	0
2016.04.12	15:00:00	1261.04	1262.31	1257.77	1259.54	11995	0	0
2016.04.12	16:00:00	1259.52	1260.76	1253.53	1253.75	16171	0	0
2016.04.12	17:00:00	1253.75	1255.90	1251.20	1254.39	15854	0	0
2016.04.12	18:00:00	1254.46	1258.32	1252.94	1256.88	11716	0	0
2016.04.12	19:00:00	1256.92	1256.97	1253.59	1254.96	8684	0	0
